R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_HEEL_x,R_HEEL_y,R_HEEL_z,L_HEEL_x,L_HEEL_y,L_HEEL_z,R_TOE_x,R_TOE_y,R_TOE_z,L_TOE_x,L_TOE_y,L_TOE_z
1594.1635,576.8395,736.0985,1598.8765,396.1325,730.805,1581.81,642.3005,571.7295,1601.067,342.2705,565.199,3073.5045,1237.3605,902.354,3093.0299999999997,740.0425,894.273,1565.1705,576.3535,486.5085,1557.2305,425.8695,476.5485,3216.3145,1121.1390000000001,488.6225,3207.23,890.135,480.342,1640.4235,592.11,34.5295,3245.325,877.7475,85.9685,3340.625,1134.302,47.214,3316.283,883.684,50.419,3151.374,1178.695,39.8795,3137.331,828.937,41.433
1594.0125,576.739,736.143,1598.704,396.019,730.8395,1581.665,642.1995,571.764,1600.967,342.1425,565.1985,3073.3064999999997,1237.1405,902.5329999999999,3092.9415,739.861,894.2090000000001,1565.2125,576.2195,486.408,1557.1715,425.764,476.5825,3216.279,1121.1485,488.6495,3207.1445000000003,890.0055,480.3835,1640.401,592.1075,34.522,3245.3325,877.8425,86.1395,3342.346,1136.204,48.406,3316.277,884.076,50.006,3151.372,1178.7134999999998,39.938,3137.34,828.9359999999999,41.497
1593.866,576.598,736.0965,1598.5815,395.8525,730.771,1581.542,642.0695,571.7645,1600.8285,342.045,565.137,3073.0475,1236.9050000000002,902.4265,3092.9489999999996,739.7090000000001,893.999,1565.0735,576.0885,486.2655,1557.135,425.6485,476.561,3216.202,1121.1264999999999,488.598,3206.8875,889.8254999999999,480.39250000000004,1640.3925,592.14,34.503,3244.702,874.8489999999999,87.4455,3340.612,1134.282,47.067,3316.346,884.729,49.68,3151.391,1178.7755000000002,39.9365,3137.431,828.8845,41.3425
1593.7165,576.4325,736.0895,1598.3525,395.666,730.747,1581.434,641.8985,571.682,1600.8095,341.9225,565.144,3072.7960000000003,1236.674,902.4725000000001,3092.828,739.4415,893.9375,1564.9525,575.929,486.1215,1557.0895,425.5195,476.5905,3216.1795,1121.017,488.453,3206.784,889.7090000000001,480.3075,1640.344,592.1905,34.554,3245.366,877.711,86.2145,3340.55,1134.259,47.007,3316.429,884.701,49.643,3151.349,1178.7404999999999,39.762,3137.411,828.8824999999999,41.361000000000004
1593.5495,576.2985,736.049,1598.1095,395.4815,730.6715,1581.273,641.7625,571.6455,1600.703,341.8225,565.1445,3072.5805,1236.445,902.3895,3092.7505,739.245,893.826,1564.8355,575.76,486.025,1557.079,425.3895,476.591,3216.0845,1120.9319999999998,488.39,3206.598,889.5085,480.2895,1640.4,592.1225,34.478,3244.8635,875.098,87.4555,3342.346,1136.226,48.165,3316.152,883.335,50.855,3151.3655,1178.754,39.699,3137.3935,828.8555,41.3175
1593.338,576.1075,735.9565,1597.912,395.3415,730.547,1581.096,641.6415,571.591,1600.728,341.721,565.015,3072.4135,1236.1615000000002,902.079,3092.717,738.9585,893.491,1564.7635,575.6265,485.9275,1557.094,425.227,476.573,3215.9325,1120.835,488.222,3206.2825000000003,889.207,479.9605,1640.391,592.123,34.4245,3245.1935000000003,877.6375,85.8565,3341.896,1135.418,46.097,3316.256,883.5,50.92,3151.3095,1178.7359999999999,39.438,3137.3334999999997,828.8399999999999,41.2285
1593.1345,575.9165,735.926,1597.715,395.2425,730.3665,1580.941,641.4975,571.4745,1600.6,341.497,565.0225,3072.1365,1235.8905,901.7955,3092.499,738.6925,893.547,1564.742,575.535,485.852,1557.0695,425.052,476.546,3215.8035,1120.7565,488.041,3206.0845,888.923,479.9605,1641.174,592.8125,33.9995,3244.822,875.1135,87.346,3341.947,1135.537,45.971,3316.373,884.007,50.718,3151.2835,1178.7445,39.25749999999999,3137.29,828.8095000000001,41.11
1592.9185,575.721,735.9465,1597.5585,395.1235,730.382,1580.775,641.4005,571.505,1600.571,341.375,565.014,3071.931,1235.6375,901.7345,3092.3975,738.428,893.524,1564.6735,575.4,485.827,1557.044,424.856,476.5395,3215.7799999999997,1120.5985,487.94399999999996,3205.9089999999997,888.6645,479.97799999999995,1641.22,592.8525,33.9495,3244.8305,875.1285,87.3655,3342.002,1135.579,45.815,3316.132,883.667,51.126,3151.3320000000003,1178.7334999999998,39.147999999999996,3137.2435,828.8185,41.1595
1592.754,575.519,735.968,1597.373,395.0335,730.376,1580.612,641.271,571.521,1600.4855,341.201,565.0455,3071.6795,1235.403,901.692,3092.397,738.1755,893.5855,1564.583,575.2435,485.777,1557.0325,424.706,476.5485,3215.6795,1120.465,487.8265,3205.5969999999998,888.366,480.271,1641.267,592.8805,33.922,3244.7495,875.034,87.386,3342.138,1135.692,45.798,3316.352,884.152,50.944,3151.3175,1178.777,39.182500000000005,3137.2385000000004,828.8330000000001,41.238
1592.598,575.339,735.995,1597.273,394.9075,730.4045,1580.4365,641.1335,571.586,1600.5825,341.1355,565.208,3071.429,1235.2024999999999,901.7774999999999,3092.398,737.9365,893.699,1564.322,575.044,485.756,1556.9555,424.4925,476.579,3215.7435,1120.4055,487.947,3205.3265,888.0375,480.34000000000003,1641.2735,592.9095,33.887,3244.824,875.2325,87.3625,3342.212,1135.76,45.758,3316.362,884.13,50.834,3151.3505,1178.8020000000001,39.282,3137.261,828.825,41.269499999999994
