R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_HEEL_x,R_HEEL_y,R_HEEL_z,L_HEEL_x,L_HEEL_y,L_HEEL_z,R_TOE_x,R_TOE_y,R_TOE_z,L_TOE_x,L_TOE_y,L_TOE_z
1635.6965,562.6425,726.961,1643.2385,343.6215,728.573,1620.0825,599.3955,564.183,1616.7805,316.8935,575.327,3139.5165,1168.069,880.604,3150.598,664.649,892.553,1613.4645,544.558,495.815,1612.874,383.239,490.4,3276.051,1044.817,461.17449999999997,3296.952,803.8555,478.2905,3310.8810000000003,1029.395,79.991,3318.6409999999996,816.4459999999999,80.561,0.0,0.0,0.0,0.0,0.0,0.0,3197.126,1059.9044999999999,37.5135,3198.6695,782.265,36.6105
1635.704,562.664,726.997,1643.231,343.629,728.5945,1620.0585,599.4145,564.2405,1616.7705,316.9125,575.357,3139.5820000000003,1167.9775,880.6645000000001,3150.6275,664.738,892.597,1613.4475,544.6065,495.86,1612.9075,383.252,490.528,3276.1014999999998,1044.8595,461.2205,3296.9674999999997,803.9675,478.5185,3310.8875,1029.4995,80.2245,3318.692,816.5360000000001,80.701,0.0,0.0,0.0,0.0,0.0,0.0,3197.1185,1059.9835,37.7885,3197.818,782.3485000000001,36.894
1635.681,562.675,727.061,1643.34,343.6815,728.6465,1620.0945,599.39,564.3065,1616.78,316.9285,575.392,3139.6769999999997,1167.867,880.681,3150.626,664.799,892.6885,1613.49,544.6225,495.922,1612.9185,383.285,490.613,3276.12,1044.8685,461.329,3297.0465,804.0070000000001,478.7035,3310.823,1029.538,80.331,3318.4624999999996,816.5725,80.834,0.0,0.0,0.0,0.0,0.0,0.0,3197.1795,1060.022,37.8785,3198.703,782.3265,36.8125
1635.654,562.694,727.0995,1643.134,343.6505,728.6525,1620.1105,599.4085,564.383,1616.765,316.94,575.44,3139.718,1167.784,880.759,3150.7105,664.863,892.5785000000001,1613.475,544.7055,496.0625,1612.912,383.3265,490.6645,3276.1059999999998,1044.8525,461.47249999999997,3297.078,804.0255,478.8435,3310.8305,1029.519,80.461,3318.6455,816.586,80.889,0.0,0.0,0.0,0.0,0.0,0.0,3197.228,1059.9625,37.8845,3197.866,782.321,37.0955
1635.6585,562.6915,727.0795,1643.2685,343.6795,728.638,1620.126,599.377,564.3605,1616.724,316.96,575.3855,3139.7845,1167.6545,880.683,3150.697,664.91,892.6105,1613.4375,544.6925,496.062,1612.918,383.3215,490.655,3276.202,1044.8695,461.41049999999996,3297.1075,804.0550000000001,478.714,3310.837,1029.5495,80.4285,3318.8175,816.5264999999999,80.773,0.0,0.0,0.0,0.0,0.0,0.0,3197.2115000000003,1059.895,37.968,3197.91,782.2964999999999,37.0055
1635.6535,562.7045,727.0675,1643.255,343.6985,728.647,1620.1215,599.3485,564.306,1616.6685,316.99,575.379,3139.8495000000003,1167.5355,880.5830000000001,3150.7625,664.958,892.4355,1613.4795,544.7075,496.0475,1612.888,383.341,490.6435,3276.2915000000003,1044.9175,461.33299999999997,3297.1315,804.0875000000001,478.655,3310.843,1029.5465,80.3785,3318.7340000000004,816.5185,80.73150000000001,0.0,0.0,0.0,0.0,0.0,0.0,3197.317,1059.724,37.6915,3197.871,782.2835,36.9305
1635.6465,562.7,727.0255,1643.222,343.689,728.6005,1620.085,599.2905,564.0775,1616.683,316.994,575.3635,3139.9345,1167.4245,880.4915,3150.7565,664.9884999999999,892.4255,1613.4975,544.6865,495.9225,1612.8985,383.3355,490.583,3276.255,1044.8535000000002,461.2715,3297.1175,804.076,478.466,3310.7965,1029.498,80.316,3318.7365,816.5005,80.666,0.0,0.0,0.0,0.0,0.0,0.0,3197.1335,1059.9245,37.8585,3197.9080000000004,782.2425,36.835499999999996
1635.6325,562.678,726.9615,1643.213,343.7045,728.576,1620.1015,599.269,564.0245,1616.664,316.988,575.3045,3139.935,1167.2604999999999,880.3779999999999,3150.7385000000004,665.0275,892.3395,1613.5825,544.6755,495.845,1612.8525,383.3285,490.4015,3276.297,1044.8265000000001,461.17150000000004,3297.0705,804.039,478.425,3310.8765000000003,1029.485,80.18,3318.7879999999996,816.5165,80.594,0.0,0.0,0.0,0.0,0.0,0.0,3197.0995000000003,1059.8395,37.6805,3197.8005000000003,782.2405,36.789500000000004
1635.6365,562.67,726.898,1643.2065,343.734,728.5205,1620.0815,599.216,563.9455,1616.646,317.0285,575.055,3140.0325000000003,1167.1675,880.236,3150.745,665.0745,892.2405,1613.6,544.662,495.782,1612.843,383.3365,490.2685,3276.3374999999996,1044.84,461.028,3297.2405,804.068,478.312,3310.8559999999998,1029.432,80.077,3318.5924999999997,816.4925000000001,80.264,0.0,0.0,0.0,0.0,0.0,0.0,3197.009,1059.924,37.5865,3197.8315000000002,782.2764999999999,36.6415
1635.633,562.6685,726.874,1643.007,343.717,728.538,1620.088,599.21,563.93,1616.603,317.0275,575.017,3140.0860000000002,1167.0045,880.1804999999999,3150.691,665.1315,892.324,1613.6105,544.6905,495.77,1612.8495,383.369,490.2475,3276.3495000000003,1044.851,461.01649999999995,3297.2315,804.1015,478.32,3310.8010000000004,1029.46,79.759,3318.471,816.4694999999999,80.475,0.0,0.0,0.0,0.0,0.0,0.0,3197.242,1059.7620000000002,37.214,3197.777,782.2974999999999,36.6575
