R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_HEEL_x,R_HEEL_y,R_HEEL_z,L_HEEL_x,L_HEEL_y,L_HEEL_z,R_TOE_x,R_TOE_y,R_TOE_z,L_TOE_x,L_TOE_y,L_TOE_z
1628.7205,597.0035,736.9015,1627.0495,415.8035,733.789,1619.778,665.692,574.6145,1628.538,356.236,570.6085,3148.3785,1290.8125,907.0855,3143.4089999999997,767.3634999999999,906.8015,1593.9035,594.0445,488.2265,3295.3149999999996,964.616,962.052,3269.8864999999996,1140.8629999999998,489.37149999999997,3262.584,929.8340000000001,480.6325,3314.945,1144.9275,78.414,3299.0429999999997,921.854,85.6495,3390.678,1137.773,42.766,3369.952,922.572,50.806,3197.3445,1175.9645,39.6855,3188.0164999999997,879.4675,40.765
1628.6815,596.959,736.864,1626.94,415.7425,733.761,1619.7145,665.6285,574.417,1628.577,356.2445,570.5605,3148.34,1290.757,907.0955,3143.3990000000003,767.3335,906.6925,1593.7965,594.0155,488.2085,3295.1495,964.2985000000001,962.02,3269.6130000000003,1140.9305,489.473,3262.55,929.8354999999999,480.57050000000004,3314.8535,1144.9160000000002,78.4015,3298.9845,921.8695,85.549,3390.77,1137.734,42.703,3370.046,922.729,50.772,3197.322,1175.9450000000002,39.647999999999996,3188.0625,879.4425,40.7055
1628.6205,596.891,736.8215,1626.8435,415.666,733.7315,1619.701,665.591,574.3905,1628.54,356.202,570.5785,3148.2529999999997,1290.6545,907.0425,3143.427,767.2655,906.562,1593.7445,593.9665,488.19,3295.091,963.9845,961.9449999999999,3269.5415,1140.8035,489.4915,3262.5405,929.8385000000001,480.5595,3314.8135,1144.9535,78.13650000000001,3298.9875,921.848,85.594,3390.756,1137.694,42.765,3369.951,922.401,50.768,3197.302,1175.9405000000002,39.6095,3188.0145,879.41,40.709500000000006
1628.5535,596.8545,736.884,1626.766,415.609,733.713,1619.7045,665.5575,574.4055,1628.4775,356.177,570.582,3148.2219999999998,1290.5720000000001,907.062,3143.4645,767.268,906.527,1593.651,593.9475,488.209,3294.908,964.4245,962.1055,3269.7695,1140.683,489.3325,3262.507,929.787,480.546,3314.8509999999997,1144.894,78.4145,3298.9285,921.8435,85.58600000000001,3390.812,1137.556,42.73,3369.911,922.234,50.882,3197.3284999999996,1175.9015,39.6345,3188.026,879.44,40.739
1628.529,596.808,736.857,1626.9085,415.5355,733.639,1619.7045,665.521,574.576,1628.3995,356.1145,570.592,3148.1785,1290.5185000000001,907.1165000000001,3143.447,767.168,906.4455,1593.6195,593.9115,488.327,3294.8194999999996,964.2090000000001,962.202,3269.4115,1140.8220000000001,489.5395,3262.4094999999998,929.7835,480.59,3314.8689999999997,1144.934,78.411,3299.0280000000002,921.8895,85.56649999999999,3390.852,1137.53,42.635,3370.0,922.382,50.836,3197.3305,1175.902,39.5995,3188.0299999999997,879.4,40.715500000000006
1628.4965,596.791,736.918,1626.7745,415.4965,733.6505,1619.6605,665.4925,574.6405,1628.281,356.06,570.569,3148.1319999999996,1290.4555,907.181,3143.4624999999996,767.1345,906.469,1593.5875,593.8945,488.3825,3294.6425,963.4275,962.5219999999999,3269.4615,1140.7595000000001,489.6065,3262.4235,929.726,480.619,3314.8869999999997,1144.914,78.47749999999999,3298.934,921.8605,85.6115,3390.742,1137.802,42.827,3369.909,922.396,50.943,3197.365,1175.946,39.7825,3188.063,879.4585,40.772
1628.4415,596.7255,736.9355,1626.5465,415.4095,733.718,1619.656,665.4565,574.7155,1628.3295,356.0525,570.5615,3148.1115,1290.435,907.29,3143.4120000000003,766.9955,906.4675,1593.549,593.8675,488.4345,3294.6075,963.325,962.5205000000001,3269.337,1140.78,489.65999999999997,3262.4025,929.6935000000001,480.6355,3314.9235,1144.963,78.521,3299.031,921.9035,85.6045,3390.679,1137.675,42.822,3369.924,922.397,50.899,3197.386,1175.952,39.821,3188.0765,879.4735000000001,40.812
1628.397,596.6835,736.9725,1626.4785,415.402,733.728,1619.607,665.427,574.7505,1628.3605,356.0905,570.541,3148.0424999999996,1290.4140000000002,907.34,3143.4539999999997,766.9585,906.387,1593.526,593.8665,488.433,3294.496,963.406,962.626,3269.3734999999997,1140.755,489.7195,3262.413,929.7295,480.6225,3314.9695,1144.917,78.561,3298.9984999999997,921.8525,85.57499999999999,3390.946,1137.298,42.724,3369.923,922.39,50.883,3197.426,1175.9499999999998,39.818,3188.1095,879.438,40.7675
1628.3245,596.637,736.989,1626.393,415.3115,733.7395,1619.538,665.354,574.7575,1628.196,355.989,570.5465,3147.9605,1290.3029999999999,907.308,3143.3914999999997,766.8734999999999,906.3435,1593.4445,593.8365,488.465,3294.366,963.3285000000001,962.5440000000001,3269.2375,1140.788,489.74800000000005,3262.263,929.6669999999999,480.7005,3314.941,1144.904,78.58099999999999,3298.9745000000003,921.851,85.61449999999999,3390.627,1137.879,42.853,3369.939,922.565,50.878,3197.4065,1175.993,39.8665,3188.1175000000003,879.5125,40.839
1628.245,596.5545,736.9965,1626.3235,415.2775,733.7305,1619.4715,665.342,574.753,1628.2025,355.997,570.5625,3147.8615,1290.2649999999999,907.298,3143.348,766.736,906.187,1593.4145,593.8185,488.441,3294.2685,962.9414999999999,962.465,3269.4635,1140.6444999999999,489.538,3262.3235,929.697,480.6105,3314.9015,1144.8905,78.5635,3298.9955,921.8689999999999,85.64599999999999,3390.809,1137.519,42.872,3370.115,922.693,50.74,3197.3630000000003,1175.9875,39.8285,3188.1315,879.5345,40.797
1628.156,596.459,736.929,1626.27,415.22,733.6705,1619.409,665.281,574.6965,1628.1465,355.9355,570.5185,3147.7255,1290.159,907.221,3143.224,766.6145,905.8620000000001,1593.3535,593.7785,488.4225,3294.163,963.0305000000001,962.3979999999999,3269.0845,1140.728,489.635,3262.1805,929.607,480.592,3314.8990000000003,1144.8775,78.507,3298.9785,921.8534999999999,85.6185,3390.666,1137.689,42.907,3370.024,922.554,50.792,3197.3655,1175.967,39.79,3188.0744999999997,879.4784999999999,40.753
1628.0425,596.3685,736.9255,1626.1575,415.1515,733.6645,1619.337,665.2485,574.658,1628.1215,355.921,570.489,3147.5924999999997,1290.056,907.0905,3143.1575000000003,766.483,905.7304999999999,1593.3385,593.75,488.388,3293.962,962.8385,962.2745,3269.2965,1140.5610000000001,489.387,3262.031,929.5260000000001,480.6065,3314.8965,1144.895,78.4725,3298.9880000000003,921.8679999999999,85.578,3390.774,1137.621,42.912,3370.058,922.731,50.712,3197.3465,1175.932,39.710499999999996,3188.0564999999997,879.503,40.7665
1627.9585,596.292,736.877,1626.083,415.106,733.6465,1619.2775,665.156,574.658,1628.0215,355.8835,570.5295,3147.4685,1289.941,907.02,3143.0344999999998,766.358,905.7045,1593.256,593.713,488.39,3293.8085,963.039,962.3135,3269.2495,1140.4795,489.3625,3261.9695,929.5455,480.4855,3314.866,1144.8935000000001,78.416,3298.919,921.8285,85.6465,3390.701,1137.736,42.879,3369.862,922.254,50.816,3197.2785,1175.8815,39.6235,3188.0135,879.466,40.7435
1627.8525,596.2015,736.8365,1626.047,415.0505,733.643,1619.196,665.081,574.634,1627.994,355.806,570.481,3147.3275,1289.808,906.9705,3142.9399999999996,766.23,905.5835,1593.182,593.6665,488.388,3293.6905,962.655,962.211,3269.181,1140.4475,489.3175,3261.8705,929.4235,480.421,3314.808,1144.9025,78.0575,3298.931,921.8105,85.572,3390.681,1137.898,42.845,3369.913,922.235,50.875,3197.3115,1175.8835,39.5305,3187.9935,879.441,40.721500000000006
