R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_HEEL_x,R_HEEL_y,R_HEEL_z,L_HEEL_x,L_HEEL_y,L_HEEL_z,R_TOE_x,R_TOE_y,R_TOE_z,L_TOE_x,L_TOE_y,L_TOE_z
518.1274999999999,-1813.5974999999999,1450.491,263.2985,-1786.1644999999999,1453.762,649.942,-1768.106,1122.5369999999998,134.9835,-1727.3809999999999,1124.2775,666.1410000000001,-1643.965,895.0325,174.6365,-1592.157,899.4725000000001,284.785,-833.9865,495.5145,133.8575,-815.024,484.9005,506.4565,-1754.8925,483.091,298.697,-1722.729,473.98850000000004,499.2305,-1787.6885,76.2895,276.16200000000003,-1748.5615,81.7345,477.354,-1858.538,42.867,283.571,-1823.648,42.855,550.7625,-1682.025,36.0755,238.94050000000001,-1642.2035,34.61
518.125,-1813.5055,1450.415,263.306,-1786.1025,1453.7530000000002,649.8935,-1768.1109999999999,1122.4585000000002,135.012,-1727.3695,1124.2240000000002,666.083,-1643.9855,894.944,174.6775,-1592.3184999999999,899.4585,284.8015,-833.9725,495.5165,133.848,-814.945,484.943,506.4455,-1754.935,483.13,298.693,-1722.805,474.0,499.21000000000004,-1787.6705000000002,76.245,276.16049999999996,-1748.6685,81.75399999999999,477.323,-1858.499,42.784,283.559,-1823.727,42.821,550.7365,-1682.0655000000002,36.088,238.907,-1642.249,34.6075
518.094,-1813.5845,1450.374,263.295,-1786.0439999999999,1453.742,649.8295,-1768.2125,1122.4115000000002,135.052,-1727.3915000000002,1124.2150000000001,666.059,-1644.059,894.8595,174.7455,-1592.4675,899.4145000000001,284.8205,-833.9645,495.517,133.815,-814.971,484.9085,506.4215,-1754.951,483.11350000000004,298.66150000000005,-1722.717,473.905,499.216,-1787.781,76.2855,276.1805,-1748.641,81.7115,477.355,-1858.561,42.776,283.562,-1823.727,42.773,550.7365,-1682.173,36.1425,238.9155,-1642.353,34.612
518.1155,-1813.612,1450.3519999999999,263.321,-1785.981,1453.6825,649.8045,-1768.2559999999999,1122.3145,135.0735,-1727.4205000000002,1124.125,666.029,-1644.136,894.7719999999999,174.7965,-1592.6745,899.357,284.8305,-833.9795,495.5045,133.86,-814.9095,484.945,506.419,-1754.939,483.0855,298.692,-1722.704,473.834,499.2175,-1787.797,76.243,276.161,-1748.5995,81.607,477.347,-1858.586,42.755,283.569,-1823.695,42.716,550.7185,-1682.1954999999998,36.1165,238.9035,-1642.3220000000001,34.6015
518.1285,-1813.656,1450.306,263.3225,-1785.9245,1453.7035,649.7655,-1768.356,1122.283,135.0855,-1727.3595,1124.1335,665.9935,-1644.1945,894.687,174.87650000000002,-1592.644,899.309,284.835,-833.9495,495.497,133.8515,-814.966,484.9005,506.342,-1755.0565,482.856,298.6695,-1722.7955,473.88250000000005,499.222,-1787.7885,76.2345,276.1895,-1748.625,81.614,477.319,-1858.528,42.718,283.579,-1823.871,42.802,550.6825,-1682.173,36.1065,238.8745,-1642.3555000000001,34.6145
518.141,-1813.5945000000002,1450.2314999999999,263.37300000000005,-1785.9155,1453.6625,649.7535,-1768.24,1122.158,135.135,-1727.4145,1124.1245,665.9705,-1644.2185,894.6615,174.921,-1592.74,899.2535,284.866,-833.9705,495.49,133.8905,-814.9495,484.8975,506.318,-1755.091,482.858,298.697,-1722.7730000000001,473.82349999999997,499.2115,-1787.766,76.19800000000001,276.202,-1748.643,81.5895,477.337,-1858.642,42.767,283.593,-1823.842,42.676,550.684,-1682.216,36.0565,238.87,-1642.385,34.5925
518.14,-1813.6585,1450.2575000000002,263.293,-1785.7665,1453.6985,649.7025000000001,-1768.262,1122.1095,135.1805,-1727.3755,1124.1370000000002,665.906,-1644.261,894.6225,174.964,-1592.8035,899.278,284.8785,-833.9315,495.498,133.903,-814.8615,484.889,506.3695,-1754.966,482.882,298.7145,-1722.7640000000001,473.83849999999995,499.173,-1787.819,76.22749999999999,276.17650000000003,-1748.6335,81.6155,477.323,-1858.519,42.693,283.607,-1823.926,42.887,550.6949999999999,-1682.0965,36.0255,238.86899999999997,-1642.3735,34.569
518.1695,-1813.6190000000001,1450.2325,263.3695,-1785.7310000000002,1453.7255,649.6724999999999,-1768.32,1122.058,135.1995,-1727.3645000000001,1124.1889999999999,665.8589999999999,-1644.2955,894.5965000000001,175.0605,-1592.6695,899.2094999999999,284.9035,-833.8935,495.4925,133.9255,-814.8465,484.832,506.3595,-1754.9375,482.87199999999996,298.746,-1722.6599999999999,473.8575,499.2035,-1787.745,76.207,276.163,-1748.7489999999998,81.70150000000001,477.36,-1858.525,42.768,283.549,-1823.787,42.806,550.7275,-1682.1675,36.1035,238.9015,-1642.3249999999998,34.5545
518.1555,-1813.5925000000002,1450.2445,263.344,-1785.6025,1453.734,649.6355000000001,-1768.374,1122.0815,135.223,-1727.307,1124.2505,665.8015,-1644.245,894.635,175.0745,-1592.6329999999998,899.2255,284.9155,-833.8645,495.5075,133.9485,-814.7335,484.8675,506.4555,-1754.8415,483.0565,298.77250000000004,-1722.7095,473.89,499.226,-1787.7055,76.2415,276.1905,-1748.6055000000001,81.727,477.333,-1858.446,42.774,283.548,-1823.789,42.858,550.71,-1682.201,36.1155,238.8955,-1642.2820000000002,34.567499999999995
518.207,-1813.6415000000002,1450.2424999999998,263.431,-1785.621,1453.7694999999999,649.5935,-1768.4355,1122.0625,135.226,-1727.1705000000002,1124.2565,665.7545,-1644.3004999999998,894.6115,175.129,-1592.6399999999999,899.2365,284.9585,-833.895,495.533,133.94,-814.7705,484.8475,506.505,-1754.81,483.0615,298.8795,-1722.7665,473.96849999999995,499.183,-1787.72,76.2515,276.1925,-1748.598,81.7625,477.365,-1858.485,42.857,283.545,-1823.786,42.904,550.728,-1682.142,36.138999999999996,238.90699999999998,-1642.2885,34.577
518.2180000000001,-1813.6595000000002,1450.2155,263.4455,-1785.569,1453.7694999999999,649.575,-1768.4755,1122.0279999999998,135.2795,-1727.194,1124.2725,665.6985,-1644.2995,894.6125,175.14749999999998,-1592.538,899.2065,284.9835,-833.8975,495.543,133.992,-814.8145,484.7645,506.5205,-1754.758,483.113,298.8895,-1722.6680000000001,473.981,499.21899999999994,-1787.705,76.3135,276.199,-1748.5315,81.7285,477.371,-1858.467,42.853,283.546,-1823.774,42.928,550.739,-1682.0569999999998,36.042,238.9355,-1642.2055,34.621
518.211,-1813.69,1450.238,263.4075,-1785.4935,1453.7420000000002,649.5895,-1768.5745,1121.9735,135.275,-1727.216,1124.313,665.679,-1644.31,894.5799999999999,175.1895,-1592.5605,899.2445,285.016,-833.8655,495.541,133.973,-814.7225,484.8415,506.55449999999996,-1754.7350000000001,483.103,298.906,-1722.63,474.012,499.202,-1787.6819999999998,76.259,276.1935,-1748.556,81.7505,477.366,-1858.474,42.879,283.555,-1823.721,42.917,550.74,-1682.137,36.1525,238.956,-1642.225,34.6045
518.21,-1813.734,1450.2,263.486,-1785.545,1453.7085,649.568,-1768.632,1121.9375,135.29899999999998,-1727.185,1124.289,665.619,-1644.3665,894.5325,175.1895,-1592.679,899.237,285.0205,-833.87,495.564,133.962,-814.749,484.8795,506.552,-1754.73,483.117,298.9085,-1722.598,473.9925,499.182,-1787.7694999999999,76.2895,276.227,-1748.5505,81.73949999999999,477.351,-1858.535,42.915,283.554,-1823.722,42.917,550.721,-1682.1190000000001,36.0785,238.94,-1642.2635,34.604
518.2695,-1813.812,1450.1625,263.53499999999997,-1785.5504999999998,1453.701,649.565,-1768.7485,1121.9279999999999,135.3145,-1727.2415,1124.288,665.5805,-1644.394,894.488,175.2235,-1592.6765,899.2555,285.0035,-833.791,495.5545,133.981,-814.641,484.9,506.5475,-1754.745,483.106,298.9285,-1722.5875,473.99,499.201,-1787.763,76.32050000000001,276.219,-1748.626,81.769,477.349,-1858.554,42.869,283.59,-1823.771,42.929,550.7270000000001,-1682.182,36.1605,238.92000000000002,-1642.2620000000002,34.6135
518.298,-1813.917,1450.1084999999998,263.5135,-1785.2465,1453.5445,649.5885,-1768.8265000000001,1121.821,135.28050000000002,-1727.3145,1124.2145,665.5165,-1644.46,894.4235000000001,175.2095,-1592.8490000000002,899.21,285.0035,-833.741,495.5145,133.976,-814.5965,484.9275,506.72950000000003,-1754.8695,482.933,298.8515,-1722.4265,473.86400000000003,499.1685,-1787.7795,76.2515,276.23900000000003,-1748.6765,81.70949999999999,477.366,-1858.505,42.765,283.598,-1823.74,42.823,550.6885,-1682.173,36.1395,238.92200000000003,-1642.3000000000002,34.5955
