R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_HEEL_x,R_HEEL_y,R_HEEL_z,L_HEEL_x,L_HEEL_y,L_HEEL_z,R_TOE_x,R_TOE_y,R_TOE_z,L_TOE_x,L_TOE_y,L_TOE_z
1583.305,214.6725,702.7875,1607.881,43.6045,696.842,1567.334,244.58,551.4965,1601.537,11.835,539.652,3109.1465,472.63300000000004,854.2394999999999,3161.7619999999997,56.5275,844.1510000000001,1536.4245,205.131,465.9015,1548.793,61.2175,477.1445,3154.9155,349.80499999999995,472.7455,1591.9735,72.9685,232.413,3261.2304999999997,368.31449999999995,101.7975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.833,393.486,59.869,3159.9105,214.69799999999998,56.177
1582.939,214.572,702.782,1607.176,43.2885,697.0335,1567.0055,244.381,551.4235,1600.684,11.6195,539.8105,3108.433,472.43550000000005,854.082,3159.7380000000003,55.259,844.5925,1535.9105,204.9725,465.9495,1548.25,61.03,477.1455,3154.2205000000004,349.606,472.678,1591.7775,72.857,232.4055,3261.1994999999997,368.2605,101.84700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.824,393.53499999999997,59.990500000000004,3159.951,214.6635,56.207
1582.526,214.416,702.761,1606.524,43.1555,696.748,1566.696,244.21,551.524,1600.0895,11.4025,539.7655,3107.987,472.2155,853.8585,3158.9525000000003,55.6065,844.1975,1535.559,204.8275,465.974,1547.839,60.903,477.1765,3153.605,349.43399999999997,472.911,1591.553,72.6935,232.427,3261.14,368.23900000000003,101.95949999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.866,393.608,60.0675,3159.9885000000004,214.6635,56.4825
1581.9595,214.184,702.694,1605.879,43.0355,696.7675,1566.2985,244.0905,551.278,1599.4725,11.2085,539.799,3107.523,471.959,853.4425,3157.639,55.0205,844.2455,1535.2135,204.6895,465.8715,1547.397,60.628,476.87,3153.0145,349.3445,472.84000000000003,1591.474,72.5005,232.335,3261.14,368.28049999999996,102.1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.935,393.62850000000003,60.086999999999996,3160.0135,214.639,56.548
1581.524,213.981,702.5905,1605.175,42.806,696.7785,1565.9405,243.906,551.1465,1598.534,10.975,540.0345,3107.1085,471.67150000000004,853.2735,3155.578,53.897999999999996,844.7139999999999,1534.8015,204.4605,465.76,1546.716,60.396,476.7565,3152.3465,349.2565,472.70799999999997,1591.2945,72.43,232.317,3261.0545,368.216,102.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.9044999999996,393.5995,60.14,3160.0879999999997,214.5785,56.548
1581.073,213.819,702.33,1604.3585,42.476,696.813,1565.624,243.749,551.0325,1598.0175,10.753,539.9115,3106.63,471.3355,852.9315,3154.1995,53.584500000000006,844.719,1534.33,204.2935,465.692,1545.4875,60.208,476.969,3151.445,349.12,472.2365,1591.086,72.326,232.2535,3260.934,368.1825,102.28999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.9565000000002,393.619,60.1095,3160.145,214.58350000000002,56.5445
1580.6515,213.7205,702.055,1603.669,42.3405,696.8075,1564.893,243.546,551.026,1597.358,10.5445,539.981,3106.1245,470.9675,852.6035,3152.8575,53.132999999999996,844.5725,1533.899,204.0175,465.4575,1545.577,60.0335,476.405,3150.3615,348.9815,471.72249999999997,1590.826,72.2375,232.2045,3260.8950000000004,368.1685,102.22749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.9314999999997,393.605,60.0905,3160.112,214.597,56.439499999999995
1580.247,213.548,701.896,1602.9905,42.196,696.7935,1564.6895,243.371,550.843,1596.575,10.299,539.9795,3105.594,470.69399999999996,852.317,3151.8925,53.414500000000004,844.386,1533.5455,203.8475,465.354,1545.1725,59.876,476.324,3149.362,348.727,471.24800000000005,1590.505,72.13,232.133,3260.7889999999998,368.078,102.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.9325,393.5895,60.039500000000004,3160.0995000000003,214.618,56.159499999999994
1579.727,213.3275,701.7745,1602.1695,41.915,696.768,1564.399,243.1655,550.6975,1595.811,9.9945,539.8185,3105.0730000000003,470.481,851.96,3149.8325,51.951,844.514,1533.2685,203.6745,465.129,1544.661,59.679,476.247,3148.241,348.50350000000003,470.9425,1590.109,71.997,232.0655,3260.6775,368.0245,102.02799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.893,393.575,60.0095,3160.08,214.6215,56.076
1579.2775,213.068,701.605,1601.387,41.7235,696.6515,1564.4615,243.0035,550.4475,1595.118,9.7345,539.696,3104.5585,470.24,851.6625,3148.5280000000002,51.935,844.2950000000001,1532.9485,203.4615,465.022,1543.488,59.481,476.2305,3146.8865,348.076,470.2845,1589.812,71.8525,232.0,3260.4995,367.9835,101.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.942,393.60249999999996,59.948,3160.0945,214.6065,55.9705
1578.894,212.9515,701.5185,1600.6445,41.6635,696.7645,1564.3965,242.879,550.1655,1594.2675,9.431,539.5685,3105.0829999999996,469.5915,851.171,3147.0475,51.395,844.4024999999999,1532.6465,203.256,464.879,1543.016,59.2885,476.1335,3145.4480000000003,347.881,469.25649999999996,1590.438,71.484,231.592,3260.45,367.971,101.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.9845,393.6155,59.932,3160.0415000000003,214.601,55.950500000000005
